Date,Open,High,Low,Close,Volume,Daily_Return,MA_7,52W_High,52W_Low,Volatility_7D
2025-04-28,2302.496349368105,2306.4238484715047,2273.0401060926065,2276.574951171875,1555660,-1.1258,,2276.57,2276.57,
2025-04-29,2285.8042666616752,2290.22270274414,2270.6834923989963,2279.618408203125,1896387,-0.2706,,2279.62,2276.57,
2025-04-30,2277.949398128391,2309.8603271969996,2274.0218991661004,2299.64892578125,2083807,0.9526,,2299.65,2276.57,
2025-05-02,2291.794010197549,2302.496349368105,2268.130732213357,2276.574951171875,1424284,-0.6641,,2299.65,2276.57,
2025-05-05,2281.9750758183536,2312.2166246689503,2277.0657023405943,2306.031005859375,2074103,1.0542,,2306.03,2276.57,
2025-05-06,2297.7830679976596,2346.778758141565,2297.7830679976596,2338.629150390625,1888125,1.7776,,2338.63,2276.57,
2025-05-07,2326.061434813229,2343.636898100996,2312.609797801949,2327.828857421875,1610400,0.076,2300.7,2338.63,2276.57,1.0411
2025-05-08,2318.8935932451186,2328.9086679425363,2298.5688334765755,2312.216796875,2323073,-0.2879,2305.79,2338.63,2276.57,0.8933
2025-05-09,2287.768137663965,2300.2378988832365,2260.57025538677,2290.615478515625,1805685,0.1245,2307.36,2338.63,2276.57,0.8573
2025-05-12,2317.2244679630116,2343.7350868761478,2303.5765044828277,2339.316650390625,1274873,0.9534,2313.03,2339.32,2276.57,0.8574
2025-05-13,2332.541706924671,2354.5356050135724,2310.1549151140503,2317.224365234375,1929665,-0.6567,2318.84,2339.32,2276.57,0.8558
2025-05-14,2327.0430410418,2327.0430410418,2296.1139879646616,2307.896484375,1568111,-0.8228,2319.1,2339.32,2276.57,0.9208
2025-05-15,2308.976625401022,2326.9447405218516,2297.586783068839,2312.51123046875,3236681,0.1531,2315.37,2339.32,2276.57,0.5937
2025-05-16,2317.224305310505,2343.734922362786,2306.4236835484644,2338.236328125,1473000,0.9068,2316.86,2339.32,2276.57,0.7002
2025-05-19,2331.95255175475,2361.408794513757,2331.95255175475,2339.512939453125,936655,0.3242,2320.76,2339.51,2276.57,0.6887
2025-05-20,2351.19753918304,2351.19753918304,2296.1142659106454,2298.667236328125,1617408,-2.2342,2321.91,2339.51,2276.57,1.132
2025-05-21,2303.478005860862,2332.6396359970754,2302.496131178057,2321.053466796875,1570754,0.763,2319.3,2339.51,2276.57,1.1017
2025-05-22,2312.3151721769136,2320.268454005645,2271.174713619723,2288.45556640625,2423653,-1.0318,2315.19,2339.51,2276.57,1.1349
2025-05-23,2294.5428671730415,2321.642704503221,2287.3753737084476,2316.438720703125,844118,0.9543,2316.41,2339.51,2276.57,1.19
2025-05-26,2325.07927344993,2353.8482499032,2321.250058032729,2350.706298828125,892618,1.1022,2321.87,2350.71,2276.57,1.2651
2025-05-27,2350.706553150472,2365.8273291751543,2317.5191369873537,2337.058349609375,1865258,-0.5806,2321.7,2350.71,2276.57,1.2339
2025-05-28,2344.7169767245714,2344.7169767245714,2309.3694846131457,2319.188232421875,897517,-1.0888,2318.8,2350.71,2276.57,1.268
2025-05-29,2326.0613384377953,2332.9344618523432,2312.8060289954524,2323.802978515625,1111275,-0.0971,2322.39,2350.71,2276.57,0.9402
2025-05-30,2317.2244591411445,2331.854297340192,2301.0235254225727,2305.736572265625,3288892,-0.4958,2320.2,2350.71,2276.57,0.8897
2025-06-02,2305.343634416857,2340.789408851528,2301.121764755519,2328.6142578125,1178205,1.0094,2325.94,2350.71,2276.57,0.8972
2025-06-03,2322.2321074614806,2336.3710082209473,2300.139925202615,2309.6640625,1643913,-0.5412,2324.97,2350.71,2276.57,0.8402
2025-06-04,2316.733448566607,2324.686729845221,2299.6489239802295,2321.642822265625,3287896,0.2119,2320.82,2350.71,2276.57,0.6803
2025-06-05,2321.642934355921,2336.861993557662,2306.3255917892498,2333.3271484375,1787978,0.5033,2320.28,2350.71,2276.57,0.7089
2025-06-06,2330.2834412831876,2353.0628880206928,2327.1414899600004,2346.484375,997488,0.6952,2324.18,2350.71,2276.57,0.5934
